Table S-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Expenditures per Pupil for Elementary and Secondary Public Schools, by state: 1993–2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public school expenditures ($thousands),,,,,,,,,,,,,,,,,,,,,,,,,Student enrollment,,,,,,,,,,,,,,,,,,,,,,,,,Per-pupil expenditures (Dollars),,,,,,,,,,,,,,,,,,,,,,,
State,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nevada,"1,035,623","1,099,058","1,186,132","1,296,629","1,434,395","1,570,576","1,738,009","1,875,467","1,978,480","2,169,000","2,251,044","2,470,581","2,722,264","2,959,728","3,311,471","3,515,004","3,606,035","3,592,994","3,676,997","3,574,233","3,577,346","3,738,777","3,880,472","4,092,457",,"222,974","235,800","250,747","265,041","282,131","296,621","311,061","325,610","340,706","356,814","369,498","385,401","400,083","412,395","424,766","429,362","433,371","428,947","437,149","439,634","445,707","451,831","459,189","467,527",,"4,645","4,661","4,730","4,892","5,084","5,295","5,587","5,760","5,807","6,079","6,092","6,410","6,804","7,177","7,796","8,187","8,321","8,376","8,411","8,130","8,026","8,275","8,451","8,753"
New Hampshire,"972,963","1,007,129","1,053,966","1,114,540","1,173,958","1,241,255","1,316,946","1,418,503","1,518,792","1,641,378","1,781,594","1,900,240","2,021,144","2,139,113","2,246,692","2,399,330","2,490,623","2,576,956","2,637,911","2,643,256","2,655,077","2,720,225","2,764,233","2,833,893",,"181,247","185,360","189,319","194,171","198,308","201,629","204,713","206,783","208,461","206,847","207,671","207,417","206,852","205,767","203,572","200,772","197,934","197,140","194,711","191,900","188,974","186,310","184,670","182,425",,"5,368","5,433","5,567","5,740","5,920","6,156","6,433","6,860","7,286","7,935","8,579","9,161","9,771","10,396","11,036","11,951","12,583","13,072","13,548","13,774","14,050","14,601","14,969","15,535"
New Jersey,"9,915,429","10,448,096","10,776,982","11,208,558","11,771,941","12,056,560","12,874,579","13,327,645","14,773,650","15,822,609","17,185,966","18,416,695","19,669,576","20,869,993","22,448,262","24,357,079","23,446,911","24,261,392","23,639,281","24,391,278","25,417,320","25,733,921","25,993,208","26,825,114",,"1,130,560","1,151,307","1,174,206","1,197,381","1,227,832","1,250,276","1,268,996","1,289,256","1,313,405","1,341,656","1,367,438","1,380,753","1,393,347","1,395,602","1,388,850","1,382,348","1,381,420","1,396,029","1,402,548","1,356,431","1,372,203","1,370,295","1,400,579","1,408,845",,"8,770","9,075","9,178","9,361","9,588","9,643","10,145","10,337","11,248","11,793","12,568","13,338","14,117","14,954","16,163","17,620","16,973","17,379","16,855","17,982","18,523","18,780","18,559","19,041"
New Mexico,"1,240,310","1,323,459","1,443,789","1,517,517","1,557,376","1,659,891","1,788,382","1,890,274","2,022,093","2,204,165","2,281,608","2,446,115","2,554,638","2,729,707","2,904,474","3,057,061","3,186,252","3,217,328","3,127,463","3,039,461","3,099,308","3,189,842","3,309,622","3,343,152",,"315,668","322,292","327,248","329,640","332,632","331,673","328,753","324,495","320,306","320,260","320,234","323,066","326,102","326,758","328,220","329,040","330,245","334,419","338,122","337,225","338,220","339,244","340,365","335,694",,"3,929","4,106","4,412","4,604","4,682","5,005","5,440","5,825","6,313","6,882","7,125","7,572","7,834","8,354","8,849","9,291","9,648","9,621","9,250","9,013","9,164","9,403","9,724","9,959"
New York,"20,898,267","22,059,949","22,989,629","23,522,461","24,237,291","25,332,735","26,885,444","28,433,240","30,884,292","32,218,975","34,546,965","36,205,111","38,866,853","41,149,457","43,679,908","46,443,426","48,635,363","50,251,461","51,574,134","52,460,494","52,938,586","55,080,662","56,862,010","59,161,439",,"2,689,686","2,733,813","2,766,208","2,813,230","2,843,131","2,861,823","2,877,143","2,887,776","2,882,188","2,872,132","2,888,233","2,864,775","2,836,337","2,815,581","2,809,649","2,765,435","2,740,592","2,766,052","2,734,955","2,704,718","2,710,703","2,732,770","2,741,185","2,711,626",,"7,770","8,069","8,311","8,361","8,525","8,852","9,344","9,846","10,716","11,218","11,961","12,638","13,703","14,615","15,546","16,794","17,746","18,167","18,857","19,396","19,529","20,156","20,744","21,818"
North Carolina,"4,930,704","5,145,420","5,440,426","5,582,994","5,964,939","6,497,648","7,097,882","7,713,293","8,209,954","8,550,546","8,766,968","8,994,620","9,835,550","10,476,056","11,248,336","11,482,912","12,598,382","12,200,362","12,322,555","12,303,426","12,666,607","12,685,461","13,210,839","13,466,942",,"1,114,083","1,133,231","1,156,767","1,183,090","1,210,108","1,236,083","1,254,821","1,275,925","1,293,638","1,315,363","1,335,954","1,360,209","1,385,754","1,416,436","1,444,481","1,489,492","1,488,645","1,483,397","1,490,605","1,507,864","1,518,465","1,530,857","1,548,895","1,544,934",,"4,426","4,540","4,703","4,719","4,929","5,257","5,656","6,045","6,346","6,501","6,562","6,613","7,098","7,396","7,787","7,709","8,463","8,225","8,267","8,160","8,342","8,287","8,529","8,717"
North Dakota,"508,648","522,377","532,398","557,043","577,498","599,443","625,428","638,946","668,814","711,437","716,007","749,697","832,157","857,774","838,221","886,317","928,528","1,000,095","1,049,772","1,098,090","1,174,364","1,287,133","1,373,266","1,451,309",,"118,734","119,127","119,288","119,100","120,123","118,572","114,927","112,751","109,201","106,047","104,225","102,233","100,513","98,283","96,670","95,059","94,728","95,073","96,323","97,646","101,111","103,947","106,586","108,644",,"4,284","4,385","4,463","4,677","4,808","5,056","5,442","5,667","6,125","6,709","6,870","7,333","8,279","8,728","8,671","9,324","9,802","10,519","10,898","11,246","11,615","12,383","12,884","13,358"
Ohio,"9,572,879","9,612,678","10,030,956","10,408,022","10,948,074","11,448,722","12,207,147","12,974,575","13,893,495","14,774,065","15,868,494","16,662,985","17,167,866","17,829,599","18,251,361","18,892,374","19,387,318","19,801,670","19,988,921","19,701,810","19,506,123","19,714,149","20,231,423","20,484,182",,"1,795,199","1,807,319","1,814,290","1,836,015","1,844,698","1,847,114","1,842,163","1,836,554","1,835,049","1,830,985","1,838,285","1,845,428","1,840,032","1,839,683","1,836,722","1,827,184","1,817,163","1,764,297","1,754,191","1,740,030","1,729,916","1,724,111","1,724,810","1,716,585",,"5,332","5,319","5,529","5,669","5,935","6,198","6,627","7,065","7,571","8,069","8,632","9,029","9,330","9,692","9,937","10,340","10,669","11,224","11,395","11,323","11,276","11,434","11,730","11,933"
Oklahoma,"2,442,320","2,659,460","2,763,721","2,804,088","2,990,044","3,138,690","3,332,697","3,382,581","3,750,542","3,875,547","3,804,570","3,853,308","4,161,024","4,406,002","4,750,536","4,932,913","5,082,062","5,192,124","5,036,031","5,170,978","5,329,897","5,451,048","5,560,047","5,606,044",,"597,096","604,076","609,718","616,393","620,695","623,681","628,492","627,032","623,110","622,139","624,548","626,160","629,476","634,739","639,391","642,065","645,108","654,802","659,911","666,120","673,483","681,848","688,511","692,878",,"4,090","4,403","4,533","4,549","4,817","5,033","5,303","5,395","6,019","6,229","6,092","6,154","6,610","6,941","7,430","7,683","7,878","7,929","7,631","7,763","7,914","7,995","8,075","8,091"
Oregon,"2,849,009","2,852,723","2,948,539","3,056,801","3,184,100","3,474,714","3,706,044","3,896,287","4,112,069","4,214,512","4,150,747","4,199,485","4,458,028","4,773,751","5,039,632","5,409,630","5,529,831","5,401,667","5,430,888","5,389,273","5,395,742","5,647,470","5,969,321","6,238,574",,"510,122","516,611","521,945","527,914","537,854","541,346","542,809","545,033","546,231","551,480","554,071","551,273","552,505","552,194","562,574","565,586","575,393","582,839","570,720","568,208","587,564","593,000","601,318","608,825",,"5,585","5,522","5,649","5,790","5,920","6,419","6,828","7,149","7,528","7,642","7,491","7,618","8,069","8,645","8,958","9,565","9,611","9,268","9,516","9,485","9,183","9,524","9,927","10,247"
Pennsylvania,"10,944,392","11,236,417","11,587,027","12,374,073","12,820,704","13,084,859","13,532,211","14,120,112","14,895,316","15,550,975","16,344,439","17,680,332","18,711,100","19,631,006","20,404,304","21,157,430","21,831,816","22,733,518","23,485,203","23,190,198","23,712,931","24,264,551","25,109,991","26,045,127",,"1,717,613","1,744,082","1,764,946","1,787,533","1,804,256","1,815,151","1,816,414","1,816,716","1,814,311","1,821,627","1,816,747","1,821,146","1,828,089","1,830,684","1,871,060","1,801,971","1,775,029","1,785,993","1,793,284","1,771,395","1,763,677","1,755,236","1,743,160","1,717,414",,"6,372","6,443","6,565","6,922","7,106","7,209","7,450","7,772","8,210","8,537","8,997","9,708","10,235","10,723","10,905","11,741","12,299","12,729","13,096","13,091","13,445","13,824","14,405","15,165"
Rhode Island,"934,815","990,094","1,017,554","1,094,185","1,151,888","1,215,595","1,283,859","1,393,143","1,465,703","1,533,455","1,647,587","1,765,585","1,825,900","1,934,429","2,039,633","2,134,609","2,139,317","2,136,582","2,149,366","2,167,450","2,121,403","2,182,976","2,242,486","2,283,927",,"143,798","145,676","147,487","149,799","151,324","153,321","154,785","156,454","157,347","158,046","159,205","159,375","156,498","153,422","151,612","147,629","145,342","145,118","143,793","142,854","142,481","142,008","141,959","142,014",,"6,501","6,797","6,899","7,304","7,612","7,928","8,294","8,904","9,315","9,703","10,349","11,078","11,667","12,609","13,453","14,459","14,719","14,723","14,948","15,172","14,889","15,372","15,797","16,082"
South Carolina,"2,690,009","2,790,878","2,920,230","3,085,495","3,296,661","3,507,017","3,759,042","4,087,355","4,492,161","4,744,809","4,888,250","5,017,833","5,312,739","5,696,629","6,023,043","6,453,817","6,626,763","6,566,165","6,465,486","6,619,072","6,950,410","7,163,995","7,437,182","7,669,725",,"639,942","643,859","648,725","645,586","652,816","659,273","664,600","666,780","677,411","676,198","694,389","699,198","703,736","701,544","708,021","712,317","718,113","723,143","725,838","727,186","735,998","745,657","756,523","763,533",,"4,204","4,335","4,501","4,779","5,050","5,320","5,656","6,130","6,631","7,017","7,040","7,177","7,549","8,120","8,507","9,060","9,228","9,080","8,908","9,102","9,444","9,608","9,831","10,045"
South Dakota,"553,005","584,894","612,825","610,640","627,109","665,082","696,785","737,998","796,133","819,296","851,429","887,328","916,563","948,671","977,006","1,037,875","1,080,054","1,115,861","1,126,503","1,100,100","1,125,929","1,182,721","1,211,080","1,253,268",,"134,573","142,825","143,482","144,685","143,331","142,443","132,495","131,037","128,603","127,542","130,048","125,537","122,798","122,012","121,158","121,606","126,429","123,713","126,128","128,016","130,471","130,890","133,040","134,253",,"4,109","4,095","4,271","4,220","4,375","4,669","5,259","5,632","6,191","6,424","6,547","7,068","7,464","7,775","8,064","8,535","8,543","9,020","8,931","8,593","8,630","9,036","9,103","9,335"
Tennessee,"3,139,223","3,305,579","3,540,682","3,728,486","4,145,380","4,409,338","4,638,924","4,931,734","5,170,379","5,511,452","5,674,773","6,056,657","6,446,691","6,681,445","6,975,099","7,540,306","7,768,063","7,894,661","8,225,374","8,345,584","8,531,675","8,606,624","8,736,367","8,886,994",,"854,329","866,991","881,425","893,770","904,818","893,044","905,454","916,202","909,161","924,899","927,608","936,682","941,091","953,928","978,368","964,259","971,950","972,549","987,422","999,693","993,496","993,556","995,475","1,001,235",,"3,674","3,813","4,017","4,172","4,581","4,937","5,123","5,383","5,687","5,959","6,118","6,466","6,850","7,004","7,129","7,820","7,992","8,117","8,330","8,348","8,588","8,662","8,776","8,876"
Texas,"15,121,655","16,193,722","17,572,269","18,801,462","20,167,238","21,188,676","22,430,153","25,098,703","26,546,557","28,191,128","30,399,603","30,974,890","31,919,107","33,851,773","36,105,784","39,033,235","40,688,181","42,621,886","42,864,291","41,067,619","42,066,035","44,330,579","47,527,971","49,577,688",,"3,541,769","3,608,262","3,677,171","3,748,167","3,828,975","3,891,877","3,945,367","3,991,783","4,059,619","4,163,447","4,259,823","4,331,751","4,405,215","4,525,394","4,599,509","4,674,832","4,752,148","4,850,210","4,935,715","5,000,470","5,077,659","5,153,702","5,233,765","5,301,477",,"4,270","4,488","4,779","5,016","5,267","5,444","5,685","6,288","6,539","6,771","7,136","7,151","7,246","7,480","7,850","8,350","8,562","8,788","8,685","8,213","8,285","8,602","9,081","9,352"
Utah,"1,376,319","1,511,205","1,618,047","1,719,782","1,822,725","1,916,688","2,025,714","2,102,655","2,250,339","2,374,702","2,366,897","2,475,550","2,627,022","2,778,236","2,987,810","3,444,936","3,638,775","3,635,085","3,704,133","3,779,760","3,944,736","4,094,074","4,290,876","4,539,291",,"463,870","471,365","474,675","477,121","481,812","482,957","481,176","480,255","481,485","484,677","489,262","495,981","503,607","508,430","523,386","576,244","559,778","571,586","585,552","598,832","613,279","625,461","635,577","647,870",,"2,967","3,206","3,409","3,604","3,783","3,969","4,210","4,378","4,674","4,900","4,838","4,991","5,216","5,464","5,709","5,978","6,500","6,360","6,326","6,312","6,432","6,546","6,751","7,006"
Vermont,"625,064","643,828","665,559","684,864","718,092","749,786","792,664","870,198","934,031","992,149","1,045,213","1,111,029","1,177,478","1,237,442","1,300,149","1,356,165","1,413,329","1,432,683","1,424,507","1,497,093","1,549,229","1,602,256","1,638,720","1,671,433",,"98,558","102,755","104,533","105,565","106,341","105,984","105,120","104,559","102,049","101,179","99,978","99,103","98,352","96,638","95,399","94,038","93,625","91,451","96,858","89,908","89,624","88,690","87,311","87,866",,"6,342","6,266","6,367","6,488","6,753","7,075","7,541","8,323","9,153","9,806","10,454","11,211","11,972","12,805","13,629","14,421","15,096","15,666","14,707","16,651","17,286","18,066","18,769","19,023"
Virginia,"5,228,196","5,441,388","5,750,318","5,969,608","6,343,766","6,739,003","7,137,421","7,757,598","8,335,805","8,718,554","9,208,329","9,798,239","10,705,162","11,470,735","12,465,858","13,125,666","13,505,290","13,193,633","12,968,457","13,403,576","13,868,587","13,955,249","14,384,705","14,677,698",,"1,031,925","1,045,471","1,060,809","1,079,854","1,096,093","1,110,815","1,124,022","1,133,994","1,144,915","1,163,091","1,177,229","1,192,092","1,204,739","1,213,616","1,220,440","1,230,857","1,235,795","1,245,340","1,251,440","1,257,883","1,265,419","1,273,825","1,280,381","1,283,590",,"5,066","5,205","5,421","5,528","5,788","6,067","6,350","6,841","7,281","7,496","7,822","8,219","8,886","9,452","10,214","10,664","10,928","10,594","10,363","10,656","10,960","10,955","11,235","11,435"
Washington,"4,679,873","4,892,690","5,138,931","5,367,559","5,587,808","5,986,648","6,098,036","6,399,885","6,782,127","7,103,721","7,359,566","7,549,235","7,870,979","8,239,716","8,752,007","9,331,539","9,940,325","9,832,913","10,040,312","10,040,607","10,216,676","10,911,929","11,470,245","12,483,668",,"896,475","915,952","938,314","956,572","974,504","991,235","998,053","1,003,714","1,004,770","1,009,200","1,014,798","1,021,349","1,020,005","1,031,985","1,026,774","1,030,247","1,037,018","1,035,347","1,043,788","1,045,453","1,051,694","1,058,936","1,073,638","1,087,030",,"5,220","5,342","5,477","5,611","5,734","6,040","6,110","6,376","6,750","7,039","7,252","7,391","7,717","7,984","8,524","9,058","9,585","9,497","9,619","9,604","9,714","10,305","10,684","11,484"
West Virginia,"1,626,005","1,663,868","1,758,557","1,806,004","1,847,560","1,905,940","1,986,562","2,086,937","2,157,568","2,219,013","2,349,833","2,415,043","2,527,767","2,651,491","2,742,344","2,841,962","2,998,657","3,328,177","3,388,294","3,275,246","3,188,181","3,194,770","3,226,918","3,169,684",,"318,296","314,383","310,511","307,112","304,052","301,419","297,530","291,811","286,367","282,885","282,455","281,215","280,129","280,866","281,939","282,535","282,729","282,662","282,879","282,870","283,044","280,958","280,310","277,452",,"5,108","5,292","5,663","5,881","6,076","6,323","6,677","7,152","7,534","7,844","8,319","8,588","9,024","9,440","9,727","10,059","10,606","11,774","11,978","11,579","11,264","11,371","11,512","11,424"
Wisconsin,"4,954,900","5,170,343","5,422,264","5,670,826","5,975,122","6,280,696","6,620,653","6,852,178","7,249,081","7,592,176","7,934,755","8,131,276","8,435,359","8,745,195","9,029,660","9,366,134","9,696,228","9,966,244","10,333,016","9,704,932","9,758,650","9,920,370","10,054,346","10,122,041",,"829,415","844,001","860,581","870,175","879,259","881,780","879,542","877,753","879,476","879,361","881,231","880,031","864,757","875,174","876,700","874,633","873,750","872,436","872,286","871,105","872,436","874,414","871,432","867,800",,"5,974","6,126","6,301","6,517","6,796","7,123","7,527","7,806","8,243","8,634","9,004","9,240","9,755","9,993","10,300","10,709","11,097","11,423","11,846","11,141","11,186","11,345","11,538","11,664"
Wyoming,"547,938","558,353","577,144","581,817","591,488","603,901","651,622","683,918","704,695","761,830","791,732","814,092","863,423","965,350","1,124,564","1,191,736","1,268,407","1,334,655","1,398,444","1,432,216","1,439,041","1,466,579","1,509,532","1,556,321",,"100,313","100,899","100,314","99,859","99,058","97,115","95,241","92,105","89,940","88,128","88,116","87,462","84,733","84,409","85,193","86,422","87,161","88,155","89,009","90,099","91,533","92,732","94,067","94,717",,"5,462","5,534","5,753","5,826","5,971","6,218","6,842","7,425","7,835","8,645","8,985","9,308","10,190","11,437","13,200","13,790","14,552","15,140","15,711","15,896","15,722","15,815","16,047","16,431"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,"1,295,452","1,420,580","1,501,485","1,734,033","1,796,077","1,981,603","2,024,499","2,086,414","2,257,837","2,152,724","2,541,385","2,425,372","2,865,945","3,082,295","3,268,200","3,433,229","3,502,757","3,464,044","3,519,547","3,351,423","3,676,880","3,510,706","3,247,136","2,970,386",,"637,034","631,460","621,121","627,620","618,861","617,157","613,862","613,019","612,725","604,177","596,502","584,916","575,648","563,490","544,138","526,565","503,635","493,393","473,735","452,740","434,609","423,934","410,950","379,818",,"2,034","2,250","2,417","2,763","2,902","3,211","3,298","3,404","3,685","3,563","4,260","4,147","4,979","5,470","6,006","6,520","6,955","7,021","7,429","7,403","8,460","8,281","7,902","7,821"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES: The national total for public school expenditures for the United States includes U.S. territories. Please see source for information on estimation methodology. The national enrollment total for the United States includes U.S. territories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: National Center for Education Statistics, National Public Education Financial Survey (various years), data as of January 2019; U.S. Department of Education, National Center for Education Statistics, State Nonfiscal Survey of Public Elementary/Secondary Education (various years), data as of October 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recommended Citation: National Science Board. “Expenditures per Pupil for Elementary and Secondary Public Schools.” Science and Engineering Indicators: State Indicators. Alexandria, VA: National Science Foundation. https://ncses.nsf.gov/indicators/states/indicator/public-school-per-pupil-expenditures. Accessed on [date of user access].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last updated: April 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science and Engineering Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
