Table S-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Expenditures per Pupil for Elementary and Secondary Public Schools, by state: 1993–2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public school expenditures ($thousands),,,,,,,,,,,,,,,,,,,,,,,,,Student enrollment,,,,,,,,,,,,,,,,,,,,,,,,,Per-pupil expenditures (Dollars),,,,,,,,,,,,,,,,,,,,,,,
State,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
District of Columbia,"670,654","713,427","666,938","679,106","632,952","647,202","693,716","780,192","830,299","912,432","902,318","1,011,536","1,067,500","1,057,166","1,130,006","1,282,437","1,352,905","1,451,870","1,482,202","1,466,888","1,557,117","1,605,030","1,668,528","1,775,833",,"80,937","80,678","80,450","79,802","78,648","77,111","71,889","77,194","68,925","75,392","76,166","78,057","76,714","76,876","72,850","78,422","68,681","69,433","71,284","73,911","76,140","78,153","80,958","84,024",,"8,286","8,843","8,290","8,510","8,048","8,393","9,650","10,107","12,046","12,103","11,847","12,959","13,915","13,752","15,511","16,353","19,698","20,910","20,793","19,847","20,451","20,537","20,610","21,135"
Florida,"9,661,012","10,331,896","11,019,735","11,480,359","12,018,676","12,737,325","13,534,374","13,885,988","15,023,514","15,535,864","16,355,123","17,578,884","19,042,877","20,897,327","22,887,024","24,224,114","23,328,028","23,349,314","23,870,090","22,732,752","23,214,634","24,363,817","25,123,548","25,621,239",,"1,981,407","2,040,763","2,111,188","2,176,222","2,242,212","2,294,077","2,337,633","2,381,396","2,434,821","2,500,478","2,539,929","2,587,628","2,639,336","2,675,024","2,671,513","2,666,811","2,631,020","2,634,522","2,643,347","2,668,156","2,692,162","2,720,744","2,756,944","2,792,234",,"4,876","5,063","5,220","5,275","5,360","5,552","5,790","5,831","6,170","6,213","6,439","6,793","7,215","7,812","8,567","9,084","8,867","8,863","9,030","8,520","8,623","8,955","9,113","9,176"
Georgia,"5,273,143","5,643,843","6,136,689","6,629,646","7,230,405","7,770,241","8,537,177","9,158,624","10,011,343","10,853,496","11,630,576","11,788,616","12,528,856","13,739,263","14,828,715","16,030,039","15,976,945","15,730,409","15,527,907","15,623,633","15,536,733","15,921,673","16,530,506","17,283,295",,"1,207,186","1,235,304","1,270,948","1,311,126","1,346,761","1,375,980","1,401,291","1,422,762","1,444,937","1,470,634","1,496,012","1,522,611","1,553,437","1,598,461","1,629,157","1,649,589","1,655,792","1,667,685","1,677,067","1,685,016","1,703,332","1,723,909","1,744,437","1,757,237",,"4,368","4,569","4,828","5,056","5,369","5,647","6,092","6,437","6,929","7,380","7,774","7,742","8,065","8,595","9,102","9,718","9,649","9,432","9,259","9,272","9,121","9,236","9,476","9,835"
Hawaii,"946,074","998,143","1,028,729","1,040,682","1,057,069","1,112,351","1,143,713","1,213,695","1,215,968","1,348,381","1,489,092","1,566,792","1,648,086","1,805,521","2,045,198","2,122,779","2,225,438","2,136,144","2,141,561","2,187,480","2,178,284","2,316,586","2,344,496","2,502,117",,"177,448","180,430","183,795","187,180","187,653","189,887","188,069","185,860","184,360","184,546","183,829","183,609","183,185","182,818","180,728","179,897","179,478","180,196","179,601","182,706","184,760","186,825","182,384","181,995",,"5,332","5,532","5,597","5,560","5,633","5,858","6,081","6,530","6,596","7,306","8,100","8,533","8,997","9,876","11,316","11,800","12,400","11,855","11,924","11,973","11,790","12,400","12,855","13,748"
Idaho,"804,231","859,088","951,350","1,019,594","1,090,597","1,153,778","1,239,755","1,302,817","1,403,190","1,481,803","1,511,862","1,555,006","1,618,215","1,694,827","1,777,491","1,891,505","1,957,740","1,961,857","1,881,746","1,854,556","1,925,676","1,949,963","2,015,654","2,097,992",,"231,668","236,774","240,448","243,097","245,252","244,403","244,722","245,136","245,117","246,521","248,604","252,120","256,084","261,982","267,380","272,119","275,051","276,299","275,859","279,873","284,834","296,476","290,885","292,277",,"3,471","3,628","3,957","4,194","4,447","4,721","5,066","5,315","5,725","6,011","6,081","6,168","6,319","6,469","6,648","6,951","7,118","7,100","6,821","6,626","6,761","6,577","6,929","7,178"
Illinois,"9,942,737","10,076,889","10,640,279","10,727,091","11,720,249","12,473,064","13,602,965","14,462,773","15,658,682","16,480,787","17,271,301","18,081,827","18,658,428","19,244,908","20,326,591","21,874,484","23,495,271","24,695,773","24,554,467","25,012,915","25,783,911","27,289,963","28,545,089","29,253,457",,"1,873,567","1,893,078","1,916,172","1,943,623","1,973,040","1,998,289","2,011,530","2,027,600","2,048,792","2,071,391","2,084,187","2,100,961","2,097,503","2,111,706","2,118,276","2,112,805","2,119,707","2,104,175","2,091,654","2,083,097","2,072,880","2,066,990","2,050,239","2,041,779",,"5,307","5,323","5,553","5,519","5,940","6,242","6,762","7,133","7,643","7,956","8,287","8,606","8,896","9,113","9,596","10,353","11,084","11,737","11,739","12,008","12,439","13,203","13,923","14,327"
Indiana,"4,797,946","5,064,685","5,243,761","5,493,653","6,055,055","6,234,563","6,697,468","7,110,930","7,548,487","7,704,547","8,088,684","8,524,980","9,108,931","9,241,986","9,497,077","9,281,709","9,680,895","9,921,243","9,687,949","9,978,491","9,811,166","9,841,337","9,970,350","10,144,064",,"960,630","965,599","969,022","977,263","982,876","986,836","989,001","988,702","989,267","996,133","1,003,875","1,011,130","1,021,348","1,035,074","1,045,940","1,046,764","1,046,147","1,046,661","1,047,232","1,040,765","1,041,369","1,047,385","1,046,269","1,046,757",,"4,995","5,245","5,411","5,621","6,161","6,318","6,772","7,192","7,630","7,734","8,057","8,431","8,919","8,929","9,080","8,867","9,254","9,479","9,251","9,588","9,421","9,396","9,529","9,691"
Iowa,"2,459,141","2,527,434","2,622,510","2,753,425","2,885,943","3,005,421","3,110,585","3,264,336","3,430,885","3,565,796","3,652,022","3,669,797","3,808,200","4,039,389","4,231,932","4,499,236","4,731,463","4,794,308","4,855,871","4,971,944","5,143,771","5,354,843","5,526,877","5,663,444",,"494,839","498,519","500,440","502,343","502,941","501,054","498,214","497,301","495,080","485,932","482,210","481,226","478,319","483,482","483,122","485,115","487,559","491,842","495,775","495,870","499,825","502,964","505,311","508,014",,"4,970","5,070","5,240","5,481","5,738","5,998","6,243","6,564","6,930","7,338","7,574","7,626","7,962","8,355","8,760","9,275","9,704","9,748","9,795","10,027","10,291","10,647","10,938","11,148"
Kansas,"2,224,080","2,325,247","2,406,580","2,488,077","2,568,525","2,684,244","2,841,147","2,971,814","3,258,807","3,450,923","3,510,675","3,658,421","3,718,153","4,039,417","4,339,477","4,633,517","4,806,603","4,731,676","4,741,372","4,871,381","4,895,863","5,083,374","5,136,532","5,065,968",,"451,536","457,614","460,838","463,008","466,293","468,687","472,353","472,188","470,610","470,205","470,957","470,490","469,136","467,525","469,506","468,295","471,060","474,489","483,701","486,108","489,043","496,440","497,275","495,884",,"4,926","5,081","5,222","5,374","5,508","5,727","6,015","6,294","6,925","7,339","7,454","7,776","7,926","8,640","9,243","9,894","10,204","9,972","9,802","10,021","10,011","10,240","10,329","10,216"
Kentucky,"2,823,993","2,952,119","2,988,892","3,171,495","3,382,062","3,489,205","3,645,631","3,837,794","4,047,392","4,268,608","4,401,627","4,553,382","4,812,591","5,213,620","5,424,621","5,822,550","5,886,890","6,091,814","6,211,453","6,360,799","6,354,306","6,375,119","6,583,287","6,750,052",,"655,041","655,265","657,642","659,821","656,089","669,322","655,687","648,180","665,850","654,363","660,782","663,369","674,796","679,878","683,152","666,225","670,030","680,089","673,128","681,987","685,167","677,389","688,640","686,598",,"4,311","4,505","4,545","4,807","5,155","5,213","5,560","5,921","6,079","6,523","6,661","6,864","7,132","7,668","7,941","8,740","8,786","8,957","9,228","9,327","9,274","9,411","9,560","9,831"
