,State,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,StMean
28,Nebraska,"5,064","5,310","5,555","5,688","5,848","5,958","6,256","6,683","7,223","7,741","8,074","8,452","8,794","9,324","9,825","10,199","10,436","10,880","11,208","11,492","11,743","11,877","12,174","12,379","8,674"
29,Nevada,"4,645","4,661","4,730","4,892","5,084","5,295","5,587","5,760","5,807","6,079","6,092","6,410","6,804","7,177","7,796","8,187","8,321","8,376","8,411","8,130","8,026","8,275","8,451","8,753","6,740"
30,New Hampshire,"5,368","5,433","5,567","5,740","5,920","6,156","6,433","6,860","7,286","7,935","8,579","9,161","9,771","10,396","11,036","11,951","12,583","13,072","13,548","13,774","14,050","14,601","14,969","15,535","9,822"
31,New Jersey,"8,770","9,075","9,178","9,361","9,588","9,643","10,145","10,337","11,248","11,793","12,568","13,338","14,117","14,954","16,163","17,620","16,973","17,379","16,855","17,982","18,523","18,780","18,559","19,041","13,833"
32,New Mexico,"3,929","4,106","4,412","4,604","4,682","5,005","5,440","5,825","6,313","6,882","7,125","7,572","7,834","8,354","8,849","9,291","9,648","9,621","9,250","9,013","9,164","9,403","9,724","9,959","7,334"
33,New York,"7,770","8,069","8,311","8,361","8,525","8,852","9,344","9,846","10,716","11,218","11,961","12,638","13,703","14,615","15,546","16,794","17,746","18,167","18,857","19,396","19,529","20,156","20,744","21,818","13,862"
34,North Carolina,"4,426","4,540","4,703","4,719","4,929","5,257","5,656","6,045","6,346","6,501","6,562","6,613","7,098","7,396","7,787","7,709","8,463","8,225","8,267","8,160","8,342","8,287","8,529","8,717","6,803"
35,North Dakota,"4,284","4,385","4,463","4,677","4,808","5,056","5,442","5,667","6,125","6,709","6,870","7,333","8,279","8,728","8,671","9,324","9,802","10,519","10,898","11,246","11,615","12,383","12,884","13,358","8,064"
36,Ohio,"5,332","5,319","5,529","5,669","5,935","6,198","6,627","7,065","7,571","8,069","8,632","9,029","9,330","9,692","9,937","10,340","10,669","11,224","11,395","11,323","11,276","11,434","11,730","11,933","8,802"
37,Oklahoma,"4,090","4,403","4,533","4,549","4,817","5,033","5,303","5,395","6,019","6,229","6,092","6,154","6,610","6,941","7,430","7,683","7,878","7,929","7,631","7,763","7,914","7,995","8,075","8,091","6,440"
