,Fips,State,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017,1-year (2016-2017),5-year (2013-2017),10-year (2008-2017),gdp_mean,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2008,2009,2010,2011,2012,2013,2014,2015,2016,pop_mean
22,26000,Michigan,39863,36676,38766,39758,40465,40992,41544,42594,43330,44201,2.00%,7.80%,10.90%,40818.9,"10,075","10,373","10,447","10,577","10,477","10,515","10,649","10,956","11,051","1,692,739","1,659,921","1,649,082","1,587,067","1,573,537","1,555,370","1,548,841","1,537,922","1,536,231","1,593,412"
23,27000,Minnesota,51234,48884,50153,50899,51297,52023,53109,53257,54295,54805,0.90%,5.30%,7.00%,51995.6,"10,060","10,983","10,665","10,674","10,781","11,065","11,427","11,924","12,364","837,578","836,048","837,053","838,037","839,738","845,404","850,973","857,235","864,384","845,161"
24,28000,Mississippi,33128,31658,31687,31175,31807,31952,31635,31714,32334,32447,0.30%,1.50%,-2.10%,31953.7,"7,890","8,064","8,104","7,926","8,097","8,117","8,265","8,445","8,692","494,122","491,962","492,481","490,526","490,619","493,650","492,586","490,917","487,200","491,563"
25,29000,Missouri,43118,42012,42207,41601,41941,42498,42527,42785,42736,43036,0.70%,1.30%,-0.20%,42446.1,"9,297","9,617","9,721","9,461","9,514","9,702","9,938","10,231","10,385","917,188","917,871","917,982","918,710","916,584","917,900","918,288","917,785","919,234","917,949"
26,30000,Montana,37636,36667,37738,38578,38601,38567,39319,40148,40041,39833,-0.50%,3.30%,5.80%,38712.8,"9,749","10,120","10,565","10,719","10,569","10,662","10,941","11,078","11,374","142,823","141,899","141,807","141,693","142,349","142,908","144,129","144,532","145,319","143,051"
27,31000,Nebraska,47770,47973,49571,51378,50655,51597,53109,54048,54660,54654,0.00%,5.90%,14.40%,51541.5,"10,199","10,436","10,880","11,208","11,492","11,743","11,877","12,174","12,379","291,244","292,590","295,368","298,500","301,296","303,505","307,677","312,635","316,014","302,092"
28,32000,Nevada,49286,44774,44597,44559,43384,43074,43075,44057,44142,44812,1.50%,4.00%,-9.10%,44576,"8,187","8,321","8,376","8,411","8,130","8,026","8,275","8,451","8,753","429,362","433,371","428,947","437,149","439,634","445,707","451,831","459,189","467,527","443,635"
29,33000,New Hampshire,47842,47265,48395,48509,48661,48873,49623,51020,51827,52509,1.30%,7.40%,9.80%,49452.4,"11,951","12,583","13,072","13,548","13,774","14,050","14,601","14,969","15,535","200,772","197,934","197,140","194,711","191,900","188,974","186,310","184,670","182,425","191,648"
30,34000,New Jersey,57784,55067,55023,54281,55106,55659,55563,56196,56428,56776,0.60%,2.00%,-1.70%,55788.3,"17,620","16,973","17,379","16,855","17,982","18,523","18,780","18,559","19,041","1,382,348","1,381,420","1,396,029","1,402,548","1,356,431","1,372,203","1,370,295","1,400,579","1,408,845","1,385,633"
31,35000,New Mexico,41207,40670,40300,40167,40098,39659,40769,41457,41334,41619,0.70%,4.90%,1.00%,40728,"9,291","9,648","9,621","9,250","9,013","9,164","9,403","9,724","9,959","329,040","330,245","334,419","338,122","337,225","338,220","339,244","340,365","335,694","335,842"
